학교명,학제,설립구분,시,지역,학교홈페이지,평균등록금(원),교외장학금 국가,교외장학금 지방자치단체,교외장학금 사설및기타,교내장학금 성적우수장학금,교내장학금 근로장학금,교내장학금 기타장학금
송호대학교,전문대학,사립,강원,횡성군,www.songho.ac.kr,5946982,2187320292,82902500,37800000,114854000,46636640,340364555
수성대학교,전문대학,사립,대구,수성구,www.sc.ac.kr,5908989,10839547863,0,73068000,640511000,91446832,2801134600
수원가톨릭대학교,대학교,사립,경기,화성시,www.suwoncatholic.ac.kr,5097000,232217550,0,300604000,28543200,0,464736250
수원과학대학교,전문대학,사립,경기,화성시,www.ssc.ac.kr/index.jsp,5608023,8944848468,7505400,127325000,1154441000,105363886,1563169500
수원대학교,대학교,사립,경기,화성시,www.suwon.ac.kr,7557824,17974135256,19604280,171375000,6417733000,407316464,1834311000
수원여자대학교,전문대학,사립,경기,수원시,www.swc.ac.kr,6740692,9361158118,4572960,49730000,747752667,449123820,882963930
숙명여자대학교,대학교,사립,서울,용산구,www.sookmyung.ac.kr/,8137769,18634797835,102503080,1467521910,5584630000,1401364316,2691414932
순천대학교,대학교,국립,전남,순천시,www.scnu.ac.kr/scnu/main.do,3951411,14165403066,174723160,281982810,1755559500,298039479,562369350
순천제일대학교,전문대학,사립,전남,순천시,www.suncheon.ac.kr,5462590,7461008846,0,39500000,228898000,67543180,1499060000
순천향대학교,대학교,사립,충남,아산시,http://www.sch.ac.kr/,7873075,26997495380,22973600,833085157,4933229380,655004060,5797432450
숭실대학교,대학교,사립,서울,동작구,www.ssu.ac.kr,7975234,26630755304,440970630,2229799222,3338774600,1110621976,7438767130
숭의여자대학교,전문대학,사립,서울,중구,www.sewc.ac.kr,5967168,8562798661,16558500,55585000,863018270,485443784,605849050
신구대학교,전문대학,사립,경기,성남시,www.shingu.ac.kr,6667323,16635974528,8302800,153969700,1163067900,602105662,1435146200
신라대학교,대학교,사립,부산,사상구,www.silla.ac.kr,6771033,20906561865,65987000,198922750,1948302750,382826400,3190559307
신성대학교,전문대학,사립,충남,당진시,www.shinsung.ac.kr,6544617,8802275358,6053760,183550000,293886500,106380522,1476802810
신안산대학교,전문대학,사립,경기,안산시,www.sau.ac.kr,6649736,7282713930,86214100,118650000,325019000,15856260,1589314500
신한대학교,대학교,사립,경기,"동두천시, 의정부시",www.shinhan.ac.kr/,8786286,17121248319,1124416400,202232600,2388990000,328420846,2987999240
아신대학교,대학교,사립,경기,양평군,www.acts.ac.kr,6568264,1610688049,0,52525500,89194000,95148398,138549000
아주대학교,대학교,사립,경기,수원시,www.ajou.ac.kr,8312532,18189793046,43261960,1196988150,3886133105,1613440010,3839130772
안동과학대학교,전문대학,사립,경북,안동시,www.asc.ac.kr,5847905,6389777583,5213720,84191600,472621250,65853752,1315935070
안동대학교,대학교,국립,경북,안동시,www.andong.ac.kr/main/index.do,3748928,12873838841,187337020,375811200,1668790020,286824814,303533800
안산대학교,전문대학,사립,경기,안산시,www.ansan.ac.kr,6082384,11507585119,57361350,112510050,1011196050,36175864,1362357907
안양대학교,대학교,사립,"인천, 경기","안양시, 강화군",www.anyang.ac.kr/main.do,7684028,11305669109,21034600,91541400,2297116350,741123708,1446085447
여주대학교,전문대학,사립,경기,여주시,www.yit.ac.kr,6998739,10758362547,8746300,777050000,597783700,26623880,1152423150
연성대학교,전문대학,사립,경기,안양시,www.yeonsung.ac.kr,6503345,17063073719,118851490,164939000,856260000,419731682,2590118680
연세대학교,대학교,사립,"강원, 서울","서대문구, 원주시",www.yonsei.ac.kr,9012272,29642519763,318693880,5171268260,10253048080,2175644086,4746030929
연암공과대학교,전문대학,사립,경남,진주시,www.yc.ac.kr,5562859,3185956897,11179000,23150000,501630000,40057855,198303300
연암대학교,전문대학,사립,충남,천안시,www.yonam.ac.kr,6244519,4237082540,3719280,84000000,313348000,113120410,129824280
영남대학교,대학교,사립,경북,경산시,www.yu.ac.kr,7461513,54010997840,132613260,1535399100,10259596300,647894575,5118833280
영남신학대학교,대학교,사립,경북,경산시,www.ytus.ac.kr,6166000,1490038313,0,34600000,19577000,30744172,203897000
영남외국어대학,전문대학,사립,경북,경산시,www.yflc.ac.kr,5576023,68043093,1438000,2200000,69219000,7455362,489891500
영남이공대학교,전문대학,사립,대구,남구,www.ync.ac.kr,6231339,16149856181,2877120,101957408,595945000,507448374,4884638693
영산대학교,대학교,사립,"경남, 부산","양산시, 해운대구",www.ysu.ac.kr,6526152,15987716774,156005330,93081160,523272200,74391706,3186523860
영산선학대학교,대학교,사립,전남,영광군,www.youngsan.ac.kr,2000000,0,0,41200000,0,0,74000000
영진전문대학교,전문대학,사립,대구,북구,www.yju.ac.kr,6207720,21576403943,786480,198309700,1648421844,383021560,4645316660
예수대학교,대학교,사립,전북,전주시,www.jesus.ac.kr,6846218,1536768718,0,30150000,151322000,11191392,121850000
예원예술대학교,대학교,사립,"전북, 경기","임실군, 양주시",www.yewon.ac.kr,8354876,2107059580,3000000,30851600,267173500,18568976,2107200000
오산대학교,전문대학,사립,경기,오산시,www.osan.ac.kr,6743620,10732970524,4284400,49776000,1844491570,26915396,1252417010
용인대학교,대학교,사립,경기,용인시,www.yongin.ac.kr,7735746,14045826152,91410350,257291800,1867604000,152541788,2106459500
용인예술과학대학교,전문대학,사립,경기,용인시,www.ysc.ac.kr,6961508,7413308002,63870710,44620000,727710240,52214978,1146414140
우석대학교,대학교,사립,전북,완주군,www.woosuk.ac.kr,6937845,17916614584,44447250,243106580,1118374750,214471229,2603145750
우송대학교,대학교,사립,대전,동구,www.wsu.ac.kr,7227702,23984516769,93984690,168824370,6792234140,3840406241,2232845881
우송정보대학,전문대학,사립,대전,동구,www.wsi.ac.kr,6045608,10768576385,3517520,138663000,310773350,79734190,2101061035
울산과학대학교,전문대학,사립,울산,동구,www.uc.ac.kr,6140343,12068626407,50500000,547700000,825423000,199401748,1440115620
울산대학교,대학교,사립,울산,남구,www.ulsan.ac.kr,7333644,23878536382,366519670,4031785249,3558888320,797567556,2266839934
